Page_Name,Facebook_url,LGA_region
Innovative Business Resources,https://www.facebook.com/CanadaAustraliaMigration,Sydney
Sydney Nash,https://www.facebook.com/profile.php?id=100090386709930,Sydney
Mattrimony,https://www.facebook.com/Mattrimony,Sydney
Choice Business College - RTO 41297,https://www.facebook.com/choicebusinesscollege,Sydney
DesignCrowd,https://www.facebook.com/DesignCrowd,Sydney
Scholarships and Awards,https://www.facebook.com/scholarshipsawards,Sydney
Life Changer,https://www.facebook.com/belifechanger,Sydney
Sepide Abbasi,https://www.facebook.com/profile.php?id=100076200547123,Sydney
CDR Report Writer Australia,https://www.facebook.com/cdrreportswriters,Sydney
Australia Packaging Pty. Ltd.,https://www.facebook.com/australiapackaging/,Sydney
JM Digital Marketing,https://www.facebook.com/JaniceGanMonte,Sydney
Tejaswi Tupally,https://www.facebook.com/profile.php?id=100063870890513,Sydney
ANJUZ,https://www.facebook.com/profile.php?id=100066911342000,Sydney
Australian Immigration Lawyers,https://www.facebook.com/profile.php?id=100070124723538,Sydney
Australian Visa & Migration Consultancy Services Sydney Australia,https://www.facebook.com/avmcsmigration,Sydney
Australia Day,https://www.facebook.com/profile.php?id=100063670640876,Sydney
Classic Tiler,https://www.facebook.com/ClassicTiler,Sydney
Sammy and Afifa's Digital Marketing,https://www.facebook.com/AfifA1609,Sydney
Qualità Business Accounting,https://www.facebook.com/QualitaAccounting,Sydney
Export Council of Australia,https://www.facebook.com/exportcouncilaustralia,Sydney
Irish Taylor & Co,https://www.facebook.com/profile.php?id=100076382343069,Sydney
Director Institute,https://www.facebook.com/directorinstitute/,Sydney
DarkSide Custom Harleys,https://www.facebook.com/darksideharleys,Sydney
WeddingInvitationCards.com.au,https://www.facebook.com/WeddingInvitationCardscomau-225409082728/,Sydney
Sydney Pest Control,https://www.facebook.com/Sydneytermitecontrol,Sydney
Christiana AGBO,https://www.facebook.com/ChrisitanaAgbo,Sydney
Specialist HR,https://www.facebook.com/SpecialistHR,Sydney
CF GROUP,https://www.facebook.com/profile.php?id=100063723126428,Sydney
Roland DG Australia,https://www.facebook.com/rolanddgaustralia,Sydney
Starlightfireworks,https://www.facebook.com/starlightfireworksltd,Sydney
Sydney Mobile Makeup and Hair - SMMH,https://www.facebook.com/SYDNEYMOBILEMAKEUPHAIR,Sydney
Acacia Immigration Australia,https://www.facebook.com/acacia.immigration,Sydney
United Vets Group,https://www.facebook.com/UnitedVetsGroup,Sydney
Konnecting - Australian Skilled Migration & Recruitment,https://www.facebook.com/KonnectingSkilledMigration,Sydney
Full Motion Photography,https://www.facebook.com/FullMotionPhotography,Sydney
Synergy Markets,https://www.facebook.com/SynergyMarketstoday,Sydney
Gay Speed Dating,https://www.facebook.com/gayspeedatingsydney,Sydney
Fiverr Australia,https://www.facebook.com/fiverraustralia,Sydney
PEARL Digital,https://www.facebook.com/profile.php?id=100086664497231,Sydney
